,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Halifax County, Virginia",105.73845450388659,2.85779606767261,31.435756744398727,8.573388203017831,62.871513488797454,843.0498399634203,291.4951989026063,480.10973936899865,71.44490169181526,8.573388203017831,34992.0,0.797,0.159,0.726,0.726,0.179,39233.0,21155.0,985.0,595.0,2.43,0.933,25.3,0.949685534591195,0.03452217649748514,17.3
"Hanover County, Virginia",93.87692543489922,3.8317112422407855,19.158556211203926,9.57927810560196,61.30737987585257,1007.7400567093263,66.09701892865354,882.2515135259407,59.39152425473216,8.621350295041765,104392.0,0.929,0.379,0.813,0.813,0.054000000000000006,84955.0,37924.0,1723.0,1113.0,2.65,0.894,26.1,1.1270999490921432,0.06362556517740824,10.5
"Harford County, Maryland",152.9685458427611,2.3901335287931422,9.560534115172569,32.26680263870741,108.75107556008793,968.0040791612224,180.45508142388226,762.8509512731446,24.6980464641958,0.0,251032.0,0.929,0.35200000000000004,0.7859999999999999,0.7859999999999999,0.071,83445.0,37972.0,1812.0,1197.0,2.67,0.893,32.1,1.0884657511163536,0.05146355843079767,9.4
"Henrico County, Virginia",185.6043319928576,4.900444409052347,11.944833247065091,62.17438843985164,106.58466589688852,2472.274204366909,351.30060857394005,1972.1225968680035,148.850998924965,6.738111062446977,326501.0,0.912,0.421,0.629,0.629,0.095,66447.0,36497.0,1541.0,1095.0,2.55,0.845,22.3,1.2410538535305102,0.07531064223386759,8.5
"Henry County, Virginia",221.59587909417823,5.831470502478376,40.820293517348624,56.370881523957635,118.5732335503936,2530.858198075615,526.7761687238799,1858.2952667897755,145.7867625619594,29.157352512391878,51445.0,0.7979999999999999,0.128,0.732,0.732,0.162,36779.0,21473.0,916.0,586.0,2.31,0.893,23.6,1.3283310595725328,0.056779084459131116,17.5
"Highland County, Virginia",180.50541516245488,0.0,0.0,0.0,180.50541516245488,1083.0324909747294,270.75812274368235,767.1480144404331,45.12635379061372,0.0,2216.0,0.845,0.25,0.855,0.855,0.125,45094.0,32648.0,1104.0,555.0,1.9,0.973,22.5,4.064516129032258,0.05685920577617329,11.2
"Howard County, Maryland",224.44071077094756,1.8913543042495575,20.80489734674514,63.36036919236019,138.38408992759267,1740.676411344343,264.78960259493806,1380.3734163848026,95.51339236460268,0.9456771521247788,317233.0,0.953,0.612,0.737,0.737,0.059,115576.0,51045.0,2476.0,1661.0,2.79,0.8759999999999999,30.9,1.0031020482642214,0.06931498299357254,8.0
"Isle of Wight County, Virginia",84.7087113345721,0.0,16.395234451852662,8.197617225926331,60.1158596567931,819.7617225926331,172.1499617444529,609.3562137938573,38.25554705432288,16.395234451852662,36596.0,0.8759999999999999,0.269,0.773,0.773,0.085,67767.0,33172.0,1701.0,1018.0,2.53,0.895,29.2,0.8757741347905282,0.065690239370423,
"James City County, Virginia",120.9612386430837,1.3440137627009299,22.84823396591581,16.12816515241116,80.6408257620558,1536.2077307671634,165.31369281221438,1337.2936938874254,33.60034406752325,2.6880275254018597,74404.0,0.943,0.479,0.743,0.743,0.068,80772.0,42047.0,1752.0,1202.0,2.53,0.848,25.0,1.29000546149645,0.0952368152249879,7.4
"Kent County, Maryland",40.547389761784075,0.0,5.068423720223009,15.205271160669033,20.273694880892037,658.8950836289914,268.6264571718196,380.13177901672583,10.136847440446019,0.0,19730.0,0.873,0.332,0.701,0.701,0.128,56638.0,32217.0,1641.0,938.0,2.37,0.86,26.7,1.0614886731391586,0.08312214901165738,8.6
"King George County, Virginia",96.21305418719211,0.0,38.485221674876854,7.697044334975369,50.03078817733991,1012.1613300492613,103.91009852216749,846.6748768472906,61.57635467980296,0.0,25984.0,0.938,0.342,0.7559999999999999,0.7559999999999999,0.068,84770.0,35676.0,1894.0,1178.0,2.83,0.8540000000000001,37.1,0.9938032532920216,0.098753078817734,12.4
"King William County, Virginia",67.34419003305986,6.122199093914534,6.122199093914534,6.122199093914534,48.97759275131627,483.6537284192482,55.0997918452308,416.30953838618836,12.244398187829068,0.0,16334.0,0.8959999999999999,0.19,0.861,0.861,0.068,67423.0,31192.0,1434.0,1094.0,2.68,0.921,37.4,1.3399778516057586,0.07407860903636586,13.7
"King and Queen County, Virginia",251.43176421287887,13.968431345159939,41.90529403547981,27.936862690319877,167.62117614191925,698.4215672579968,265.40019555803883,377.1476463193183,55.873725380639755,0.0,7159.0,0.855,0.189,0.787,0.787,0.123,51495.0,25831.0,1191.0,845.0,2.51,0.944,34.6,1.0083333333333333,0.050705405782930583,
"Lancaster County, Virginia",118.48341232227487,0.0,72.91286912139992,0.0,45.57054320087496,984.3237331388989,246.08093328472472,665.3299307327743,72.91286912139992,18.22821728034998,10972.0,0.901,0.319,0.732,0.732,0.129,51495.0,33997.0,1445.0,817.0,2.11,0.887,26.7,0.6683621566632757,0.05987969376594969,9.0
"Lee County, Virginia",62.03730509946648,0.0,20.679101699822162,0.0,41.358203399644324,1220.0670002895074,74.44476611935978,1141.4864138301832,4.1358203399644315,8.271640679928865,24179.0,0.746,0.111,0.7190000000000001,0.7190000000000001,0.282,32590.0,18514.0,898.0,530.0,2.47,0.879,29.8,1.0,0.046279829604202,14.7
"Loudoun County, Virginia",87.05903690940418,0.5182085530321678,29.53788752283357,11.91879671973986,45.0841441137986,685.8490199380741,50.78443819715243,599.8264001347343,35.2381816061874,8.550441125030769,385945.0,0.935,0.598,0.779,0.779,0.03,129588.0,50456.0,2664.0,1764.0,3.07,0.865,33.7,1.1883820005325283,0.0693855342082421,6.6
"Louisa County, Virginia",161.7663752979907,5.6760131683505515,31.218072425928032,11.3520263367011,113.520263367011,1007.4923373822228,110.68225678283574,831.5359291633557,65.27415143603133,5.6760131683505515,35236.0,0.846,0.232,0.797,0.797,0.108,56946.0,30237.0,1424.0,932.0,2.58,0.8740000000000001,36.3,1.191054665930425,0.06121580202066069,11.5
"Lunenburg County, Virginia",40.73983541106494,0.0,16.295934164425972,0.0,24.443901246638962,439.99022243950134,130.36747331540778,268.8829137130286,40.73983541106494,8.147967082212986,12273.0,0.763,0.106,0.72,0.72,0.205,39537.0,18555.0,987.0,676.0,2.55,0.94,29.1,1.0592592592592591,0.04660637171025829,7.4
"Madison County, Virginia",84.11072029362288,0.0,22.93928735280624,7.646429117602079,53.52500382321456,756.9964826426059,61.17143294081664,634.6536167609728,61.17143294081664,0.0,13078.0,0.87,0.269,0.7340000000000001,0.7340000000000001,0.113,52287.0,29705.0,1524.0,742.0,2.52,0.867,30.5,0.7734887108521485,0.0812050772289341,9.7
"Mathews County, Virginia",45.547711227510824,11.386927806877706,0.0,0.0,34.16078342063312,831.2457299020724,273.2862673650649,523.7986791163744,34.16078342063312,0.0,8782.0,0.914,0.269,0.862,0.862,0.097,63622.0,35252.0,1204.0,924.0,2.32,0.8859999999999999,32.5,0.643661971830986,0.05203826007743111,4.1
"Mecklenburg County, Virginia",103.5866891104493,6.474168069403081,35.607924381716956,12.948336138806162,48.55626052052311,708.9214035996374,271.91505891492943,394.92425223358805,42.08209245112003,3.2370840347015406,30892.0,0.816,0.182,0.722,0.722,0.175,41126.0,22970.0,1025.0,690.0,2.54,0.925,24.7,0.8407643312101911,0.042729509258060336,15.7
"Middlesex County, Virginia",120.6160697717573,0.0,74.2252737056968,9.2781592132121,37.1126368528484,1150.4917424383004,213.39766190387826,844.3124884023009,92.78159213212099,18.5563184264242,10778.0,0.8809999999999999,0.221,0.809,0.809,0.136,50483.0,29871.0,1564.0,793.0,2.28,0.899,31.0,1.0234948604992655,0.06466876971608833,6.4
"Montgomery County, Maryland",167.55072265230208,1.3411721653128812,31.709141908468837,63.130889781513474,71.36951879700689,1443.2928459002762,177.70531190395675,1185.4045981129707,80.18293588334869,5.9394767320999025,1043863.0,0.911,0.583,0.6559999999999999,0.6559999999999999,0.07,103178.0,51162.0,2460.0,1693.0,2.79,0.8540000000000001,34.7,1.1994651648779795,0.06488303541748294,7.0
"Montgomery County, Virginia",45.638019512788794,1.0141782113953064,13.184316748138983,2.0283564227906132,29.411168130463885,307.2959980527778,63.8932273179043,215.0057808158049,28.39698991906858,2.0283564227906132,98602.0,0.92,0.463,0.5489999999999999,0.5489999999999999,0.23,53424.0,28277.0,1400.0,936.0,2.49,0.738,18.7,1.6888181925297514,0.14536216303928925,8.1
"Nelson County, Virginia",161.40964422624253,6.725401842760106,47.077812899320726,6.725401842760106,100.88102764140156,1062.6134911560966,201.76205528280315,800.3228192884526,60.528616584840954,20.17620552828032,14869.0,0.857,0.308,0.718,0.718,0.132,53834.0,33597.0,1366.0,688.0,2.26,0.918,31.2,1.2035541195476576,0.05010424372856278,4.0
"New Kent County, Virginia",61.4744408190287,0.0,28.372818839551712,0.0,33.101621979476995,1253.1328320802004,212.79614129663784,983.5910531044592,56.745637679103424,9.457606279850573,21147.0,0.926,0.269,0.818,0.818,0.055,78429.0,36768.0,1621.0,882.0,2.64,0.863,33.4,1.9798245614035088,0.10672908686811368,7.5
"Northampton County, Virginia",65.90328692643546,24.713732597413298,0.0,16.475821731608864,24.713732597413298,733.1740670565946,255.37523683993737,444.8471867534393,32.95164346321773,0.0,12139.0,0.8109999999999999,0.232,0.6459999999999999,0.6459999999999999,0.18600000000000005,41468.0,24835.0,1200.0,713.0,2.26,0.939,20.3,0.5215189873417722,0.03394019276711426,11.4
