,FIPS,County,mob_ratio,os_ratio
100,051570,Colonial Heights city,1.1624745071380014,0.022222222222222223
101,051580,Covington city,2.2842465753424657,0.038980509745127435
102,051590,Danville city,1.1176470588235294,0.05192511480042388
103,051595,Emporia city,0.8822768434670116,0.0
104,051600,Fairfax city,0.5242680290823345,0.18590704647676162
105,051610,Falls Church city,0.7591240875912408,0.39663461538461536
106,051620,Franklin city,1.7487437185929648,0.0
107,051630,Fredericksburg city,1.277006354436338,0.052156284555842244
108,051640,Galax city,1.0853174603174602,0.003656307129798903
109,051650,Hampton city,0.9008210608627656,0.03783275462962963
110,051660,Harrisonburg city,2.0770126091173617,0.08816661996824507
111,051670,Hopewell city,0.7962085308056872,0.0021645021645021645
112,051678,Lexington city,1.9463768115942028,0.045420699925539834
113,051680,Lynchburg city,1.7023616952442575,0.07753705815279362
