GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
0500000US51520,51520,"Bristol city, Virginia",17835,17841,17852,17810,17797,17486,17302,17157,16960
0500000US51530,51530,"Buena Vista city, Virginia",6650,6651,6647,6725,6766,6661,6578,6595,6452
0500000US51540,51540,"Charlottesville city, Virginia",43475,43435,43511,43723,44424,44863,45305,46185,46912
0500000US51550,51550,"Chesapeake city, Virginia",222209,222306,223619,225455,228325,230621,233652,235431,237940
0500000US51570,51570,"Colonial Heights city, Virginia",17411,17412,17359,17282,17370,17491,17488,17647,17772
0500000US51580,51580,"Covington city, Virginia",5961,5954,5952,5821,5746,5729,5667,5589,5518
0500000US51590,51590,"Danville city, Virginia",43055,43059,42915,42535,42697,42683,42395,42129,41898
0500000US51595,51595,"Emporia city, Virginia",5927,5925,5933,5807,5791,5661,5585,5482,5305
0500000US51600,51600,"Fairfax city, Virginia",22565,22542,22596,22696,23141,23534,23537,23723,24164
0500000US51610,51610,"Falls Church city, Virginia",12332,12289,12441,12731,13104,13396,13505,13964,14014
0500000US51620,51620,"Franklin city, Virginia",8582,8580,8593,8407,8441,8539,8392,8387,8306
0500000US51630,51630,"Fredericksburg city, Virginia",24286,24023,24202,25643,27065,27748,28190,27967,28297
0500000US51640,51640,"Galax city, Virginia",7042,7000,7020,6809,6845,6914,6887,6871,6775
0500000US51650,51650,"Hampton city, Virginia",137436,137384,137323,136517,137104,137321,137754,136354,135410
0500000US51660,51660,"Harrisonburg city, Virginia",48914,48907,49046,49745,51095,51253,52147,52322,53078
0500000US51670,51670,"Hopewell city, Virginia",22591,22602,22646,22480,22294,22150,22130,22350,22735
0500000US51678,51678,"Lexington city, Virginia",7042,7038,7060,6894,6933,7067,7062,7074,7045
0500000US51680,51680,"Lynchburg city, Virginia",75568,75608,75704,76612,77447,78204,78407,79505,80212
0500000US51683,51683,"Manassas city, Virginia",37821,37839,38266,39131,40324,41072,41264,41603,41483
0500000US51685,51685,"Manassas Park city, Virginia",14273,14241,14439,15172,15477,15939,15902,15902,15915
0500000US51690,51690,"Martinsville city, Virginia",13821,13811,13719,13702,13632,13588,13511,13577,13445
0500000US51700,51700,"Newport News city, Virginia",180719,181039,181011,180251,180247,181551,182420,181985,181825
0500000US51710,51710,"Norfolk city, Virginia",242803,242823,242878,243582,245962,245168,246245,246130,245115
0500000US51720,51720,"Norton city, Virginia",3958,3951,3968,4013,4048,4013,4038,3926,3864
0500000US51730,51730,"Petersburg city, Virginia",32420,32436,32522,31949,31850,32113,32097,32044,31882
0500000US51735,51735,"Poquoson city, Virginia",12150,12157,12147,12041,12122,12114,12027,12058,12017
0500000US51740,51740,"Portsmouth city, Virginia",95535,95527,95472,95811,96567,96185,95994,96356,95252
0500000US51750,51750,"Radford city, Virginia",16408,16408,16450,16775,16650,17072,17374,17350,17483
0500000US51760,51760,"Richmond city, Virginia",204214,204142,204115,206567,210826,213701,216541,219628,223170
0500000US51770,51770,"Roanoke city, Virginia",97032,96919,96777,96866,98143,99084,99791,99969,99660
0500000US51775,51775,"Salem city, Virginia",24802,24848,24917,24831,25007,25171,25318,25404,25549
0500000US51790,51790,"Staunton city, Virginia",23746,23746,23833,24034,23871,24207,24390,24338,24363
0500000US51800,51800,"Suffolk city, Virginia",84585,84570,84855,84780,85231,85784,86899,88116,89273
0500000US51810,51810,"Virginia Beach city, Virginia",437994,437907,438985,442886,445487,448604,450116,451854,452602
0500000US51820,51820,"Waynesboro city, Virginia",21006,21024,21043,21018,20990,21112,21254,21588,21887
0500000US51830,51830,"Williamsburg city, Virginia",14068,13681,13705,14326,14754,14911,14915,15144,15214
0500000US51840,51840,"Winchester city, Virginia",26203,26201,26164,26699,27084,27380,27408,27358,27516
