County,State,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Fluvanna County, Virginia",VA,114.1943588,0,11.41943588,11.41943588,91.35548704,700.3920673,121.8073161,532.9070077,45.67774352,15.22591451,26271,0.917,0.323,0.808,0.808,0.067,67964,31952,1537,1252,2.54,0.88,33.4,1.284791544,0.083285752,14.4
"Franklin County, Virginia",VA,131.9802386,0,30.31978455,7.134066953,94.52638713,906.0265031,156.949473,677.7363606,71.34066953,7.134066953,56069,0.862,0.207,0.793,0.793,0.133,51208,27282,1181,660,2.36,0.88,30.2,1.293856403,0.062351745,11.8
"Frederick County, Maryland",MD,74.72000194,0.403891902,5.250594731,12.11675707,56.94875823,599.779475,101.3768675,476.5924448,21.81016273,0,247591,0.926,0.405,0.748,0.748,0.067,88502,39566,1982,1338,2.68,0.882,35,0.911756608,0.053499521,8
"Frederick County, Virginia",VA,80.54867865,2.369078784,39.08979993,9.476315135,29.6134848,1190.462089,190.7108421,926.3098044,73.4414423,2.369078784,84421,0.882,0.277,0.775,0.775,0.067,71037,32554,1547,1121,2.71,0.883,31.1,0.83667263,0.055400907,10.5
"Garrett County, Maryland",MD,152.931181,0,3.398470688,0,149.5327103,812.2344945,156.3296517,635.5140187,20.39082413,3.398470688,29425,0.891,0.196,0.775,0.775,0.118,48174,26303,1191,646,2.43,0.915,24.2,1.546184739,0.039252336,10.4
"Giles County, Virginia",VA,53.39028297,0,5.932253663,0,47.45802931,427.1222637,94.91605861,314.4094441,17.79676099,5.932253663,16857,0.87,0.17,0.748,0.748,0.114,49734,25004,1002,683,2.36,0.881,24.9,0.481125601,0.041585098,16.6
"Gloucester County, Virginia",VA,99.4249476,2.687160746,34.9330897,16.12296448,45.68173268,1346.267534,163.9168055,1082.925781,99.4249476,10.74864298,37214,0.898,0.228,0.772,0.772,0.098,63881,32271,1442,923,2.49,0.914,32.9,0.854758683,0.050921696,10.3
"Goochland County, Virginia",VA,79.4070937,0,4.411505206,0,74.99558849,745.5443797,92.64160932,608.7877184,44.11505206,4.411505206,22668,0.913,0.389,0.87,0.87,0.061,86652,47610,1749,1096,2.54,0.89,31.1,0.767936227,0.0764955,7.3
"Grayson County, Virginia",VA,112.5306149,13.23889588,39.71668763,6.619447938,52.9555835,1019.394982,139.0084067,807.5726484,72.81392732,6.619447938,15107,0.811,0.128,0.787,0.787,0.191,32048,20525,879,513,2.25,0.901,27.8,0.662935323,0.035281658,8
"Greene County, Virginia",VA,113.5718342,0,10.3247122,41.29884879,61.94827319,929.2240979,87.76005369,805.3275515,36.1364927,10.3247122,19371,0.846,0.267,0.806,0.806,0.083,62952,30215,1532,957,2.63,0.923,31.2,0.781636257,0.068556089,5.6
"Greensville County, Virginia",VA,76.88364941,0,17.08525542,42.71313856,17.08525542,837.1775158,222.1083205,546.7281736,68.3410217,8.542627712,11706,0.753,0.075,0.755,0.755,0.239,42121,16835,1024,769,2.33,0.798,22.9,1.66395664,0.157355202,12.6
"Halifax County, Virginia",VA,105.7384545,2.857796068,31.43575674,8.573388203,62.87151349,843.04984,291.4951989,480.1097394,71.44490169,8.573388203,34992,0.797,0.159,0.726,0.726,0.179,39233,21155,985,595,2.43,0.933,25.3,0.949685535,0.034522176,17.3
"Hanover County, Virginia",VA,93.87692543,3.831711242,19.15855621,9.579278106,61.30737988,1007.740057,66.09701893,882.2515135,59.39152425,8.621350295,104392,0.929,0.379,0.813,0.813,0.054,84955,37924,1723,1113,2.65,0.894,26.1,1.127099949,0.063625565,10.5
"Harford County, Maryland",MD,152.9685458,2.390133529,9.560534115,32.26680264,108.7510756,968.0040792,180.4550814,762.8509513,24.69804646,0,251032,0.929,0.352,0.786,0.786,0.071,83445,37972,1812,1197,2.67,0.893,32.1,1.088465751,0.051463558,9.4
"Henrico County, Virginia",VA,185.604332,4.900444409,11.94483325,62.17438844,106.5846659,2472.274204,351.3006086,1972.122597,148.8509989,6.738111062,326501,0.912,0.421,0.629,0.629,0.095,66447,36497,1541,1095,2.55,0.845,22.3,1.241053854,0.075310642,8.5
"Henry County, Virginia",VA,221.5958791,5.831470502,40.82029352,56.37088152,118.5732336,2530.858198,526.7761687,1858.295267,145.7867626,29.15735251,51445,0.798,0.128,0.732,0.732,0.162,36779,21473,916,586,2.31,0.893,23.6,1.32833106,0.056779084,17.5
"Highland County, Virginia",VA,180.5054152,0,0,0,180.5054152,1083.032491,270.7581227,767.1480144,45.12635379,0,2216,0.845,0.25,0.855,0.855,0.125,45094,32648,1104,555,1.9,0.973,22.5,4.064516129,0.056859206,11.2
"Howard County, Maryland",MD,224.4407108,1.891354304,20.80489735,63.36036919,138.3840899,1740.676411,264.7896026,1380.373416,95.51339236,0.945677152,317233,0.953,0.612,0.737,0.737,0.059,115576,51045,2476,1661,2.79,0.876,30.9,1.003102048,0.069314983,8
"Isle of Wight County, Virginia",VA,84.70871133,0,16.39523445,8.197617226,60.11585966,819.7617226,172.1499617,609.3562138,38.25554705,16.39523445,36596,0.876,0.269,0.773,0.773,0.085,67767,33172,1701,1018,2.53,0.895,29.2,0.875774135,0.065690239,
"James City County, Virginia",VA,120.9612386,1.344013763,22.84823397,16.12816515,80.64082576,1536.207731,165.3136928,1337.293694,33.60034407,2.688027525,74404,0.943,0.479,0.743,0.743,0.068,80772,42047,1752,1202,2.53,0.848,25,1.290005461,0.095236815,7.4
"Kent County, Maryland",MD,40.54738976,0,5.06842372,15.20527116,20.27369488,658.8950836,268.6264572,380.131779,10.13684744,0,19730,0.873,0.332,0.701,0.701,0.128,56638,32217,1641,938,2.37,0.86,26.7,1.061488673,0.083122149,8.6
"King George County, Virginia",VA,96.21305419,0,38.48522167,7.697044335,50.03078818,1012.16133,103.9100985,846.6748768,61.57635468,0,25984,0.938,0.342,0.756,0.756,0.068,84770,35676,1894,1178,2.83,0.854,37.1,0.993803253,0.098753079,12.4
"King William County, Virginia",VA,67.34419003,6.122199094,6.122199094,6.122199094,48.97759275,483.6537284,55.09979185,416.3095384,12.24439819,0,16334,0.896,0.19,0.861,0.861,0.068,67423,31192,1434,1094,2.68,0.921,37.4,1.339977852,0.074078609,13.7
